,train,val,test
0,patient_001_node_1,patient_056_node_0,patient_000_node_0
1,patient_001_node_0,patient_056_node_3,patient_000_node_4
2,patient_001_node_3,patient_056_node_4,patient_000_node_3
3,patient_001_node_2,patient_056_node_1,patient_000_node_1
4,patient_001_node_4,patient_056_node_2,patient_000_node_2
5,patient_002_node_4,patient_003_node_0,patient_031_node_2
6,patient_002_node_2,patient_003_node_2,patient_031_node_4
7,patient_002_node_1,patient_003_node_1,patient_031_node_0
8,patient_002_node_3,patient_003_node_3,patient_031_node_3
9,patient_002_node_0,patient_003_node_4,patient_031_node_1
10,patient_023_node_1,patient_010_node_0,patient_048_node_1
11,patient_023_node_0,patient_010_node_3,patient_048_node_0
12,patient_023_node_3,patient_010_node_4,patient_048_node_4
13,patient_023_node_4,patient_010_node_1,patient_048_node_2
14,patient_023_node_2,patient_010_node_2,patient_048_node_3
15,patient_025_node_1,patient_064_node_0,patient_088_node_4
16,patient_025_node_3,patient_064_node_4,patient_088_node_2
17,patient_025_node_2,patient_064_node_2,patient_088_node_3
18,patient_025_node_0,patient_064_node_1,patient_088_node_1
19,patient_025_node_4,patient_064_node_3,patient_088_node_0
20,patient_035_node_1,patient_060_node_1,patient_069_node_1
21,patient_035_node_2,patient_060_node_2,patient_069_node_3
22,patient_035_node_4,patient_060_node_3,patient_069_node_0
23,patient_035_node_3,patient_060_node_4,patient_069_node_2
24,patient_035_node_0,patient_060_node_0,patient_069_node_4
25,patient_043_node_3,patient_011_node_1,patient_007_node_4
26,patient_043_node_2,patient_011_node_2,patient_007_node_3
27,patient_043_node_0,patient_011_node_3,patient_007_node_1
28,patient_043_node_1,patient_011_node_0,patient_007_node_0
29,patient_043_node_4,patient_011_node_4,patient_007_node_2
30,patient_053_node_1,patient_089_node_1,patient_019_node_1
31,patient_053_node_3,patient_089_node_2,patient_019_node_4
32,patient_053_node_2,patient_089_node_3,patient_019_node_3
33,patient_053_node_4,patient_089_node_4,patient_019_node_2
34,patient_053_node_0,patient_089_node_0,patient_019_node_0
35,patient_054_node_4,patient_047_node_0,patient_020_node_1
36,patient_054_node_1,patient_047_node_3,patient_020_node_3
37,patient_054_node_0,patient_047_node_1,patient_020_node_2
38,patient_054_node_3,patient_047_node_2,patient_020_node_4
39,patient_054_node_2,patient_047_node_4,patient_020_node_0
40,patient_055_node_0,patient_041_node_1,patient_080_node_0
41,patient_055_node_3,patient_041_node_3,patient_080_node_3
42,patient_055_node_1,patient_041_node_4,patient_080_node_1
43,patient_055_node_4,patient_041_node_2,patient_080_node_2
44,patient_055_node_2,patient_041_node_0,patient_080_node_4
45,patient_057_node_0,patient_077_node_2,patient_086_node_3
46,patient_057_node_4,patient_077_node_3,patient_086_node_1
47,patient_057_node_3,patient_077_node_4,patient_086_node_0
48,patient_057_node_2,patient_077_node_0,patient_086_node_4
49,patient_057_node_1,patient_077_node_1,patient_086_node_2
50,patient_058_node_1,,
51,patient_058_node_4,,
52,patient_058_node_2,,
53,patient_058_node_3,,
54,patient_058_node_0,,
55,patient_059_node_1,,
56,patient_059_node_4,,
57,patient_059_node_3,,
58,patient_059_node_0,,
59,patient_059_node_2,,
60,patient_071_node_3,,
61,patient_071_node_4,,
62,patient_071_node_1,,
63,patient_071_node_2,,
64,patient_071_node_0,,
65,patient_078_node_2,,
66,patient_078_node_4,,
67,patient_078_node_3,,
68,patient_078_node_1,,
69,patient_078_node_0,,
70,patient_079_node_1,,
71,patient_079_node_3,,
72,patient_079_node_2,,
73,patient_079_node_0,,
74,patient_079_node_4,,
75,tumor_054,,
76,tumor_071,,
77,normal_125,,
78,normal_145,,
79,normal_056,,
80,tumor_021,,
81,normal_109,,
82,normal_160,,
83,normal_062,,
84,normal_118,,
85,tumor_068,,
86,normal_108,,
87,normal_066,,
88,normal_103,,
89,normal_142,,
90,normal_046,,
91,tumor_007,,
92,tumor_008,,
93,tumor_103,,
94,tumor_033,,
95,normal_054,,
96,normal_007,,
97,normal_147,,
98,normal_032,,
99,normal_017,,
100,normal_123,,
101,tumor_066,,
102,normal_154,,
103,normal_004,,
104,normal_098,,
105,normal_012,,
106,normal_071,,
107,tumor_055,,
108,normal_157,,
109,normal_006,,
110,tumor_061,,
111,normal_039,,
112,normal_150,,
113,tumor_069,,
114,normal_131,,
115,tumor_057,,
116,normal_119,,
117,tumor_009,,
