,train,val,test
0,patient_001_node_1,patient_085_node_3,patient_000_node_0
1,patient_001_node_0,patient_085_node_0,patient_000_node_4
2,patient_001_node_3,patient_085_node_4,patient_000_node_3
3,patient_001_node_2,patient_085_node_1,patient_000_node_1
4,patient_001_node_4,patient_085_node_2,patient_000_node_2
5,patient_002_node_4,patient_071_node_3,patient_098_node_3
6,patient_002_node_2,patient_071_node_4,patient_098_node_4
7,patient_002_node_1,patient_071_node_1,patient_098_node_1
8,patient_002_node_3,patient_071_node_2,patient_098_node_2
9,patient_002_node_0,patient_071_node_0,patient_098_node_0
10,patient_003_node_0,patient_011_node_1,patient_065_node_0
11,patient_003_node_2,patient_011_node_2,patient_065_node_3
12,patient_003_node_1,patient_011_node_3,patient_065_node_4
13,patient_003_node_3,patient_011_node_0,patient_065_node_2
14,patient_003_node_4,patient_011_node_4,patient_065_node_1
15,patient_023_node_1,patient_046_node_4,patient_066_node_3
16,patient_023_node_0,patient_046_node_1,patient_066_node_2
17,patient_023_node_3,patient_046_node_3,patient_066_node_0
18,patient_023_node_4,patient_046_node_0,patient_066_node_4
19,patient_023_node_2,patient_046_node_2,patient_066_node_1
20,patient_025_node_1,patient_061_node_4,patient_086_node_3
21,patient_025_node_3,patient_061_node_1,patient_086_node_1
22,patient_025_node_2,patient_061_node_0,patient_086_node_0
23,patient_025_node_0,patient_061_node_3,patient_086_node_4
24,patient_025_node_4,patient_061_node_2,patient_086_node_2
25,patient_031_node_2,patient_096_node_0,patient_091_node_3
26,patient_031_node_4,patient_096_node_1,patient_091_node_2
27,patient_031_node_0,patient_096_node_3,patient_091_node_4
28,patient_031_node_3,patient_096_node_4,patient_091_node_0
29,patient_031_node_1,patient_096_node_2,patient_091_node_1
30,patient_035_node_1,patient_022_node_2,patient_034_node_1
31,patient_035_node_2,patient_022_node_1,patient_034_node_4
32,patient_035_node_4,patient_022_node_3,patient_034_node_3
33,patient_035_node_3,patient_022_node_4,patient_034_node_2
34,patient_035_node_0,patient_022_node_0,patient_034_node_0
35,patient_043_node_3,patient_049_node_3,patient_076_node_2
36,patient_043_node_2,patient_049_node_4,patient_076_node_4
37,patient_043_node_0,patient_049_node_1,patient_076_node_0
38,patient_043_node_1,patient_049_node_0,patient_076_node_3
39,patient_043_node_4,patient_049_node_2,patient_076_node_1
40,patient_053_node_1,patient_038_node_0,patient_099_node_3
41,patient_053_node_3,patient_038_node_3,patient_099_node_4
42,patient_053_node_2,patient_038_node_1,patient_099_node_1
43,patient_053_node_4,patient_038_node_2,patient_099_node_0
44,patient_053_node_0,patient_038_node_4,patient_099_node_2
45,patient_054_node_4,patient_047_node_0,patient_080_node_0
46,patient_054_node_1,patient_047_node_3,patient_080_node_3
47,patient_054_node_0,patient_047_node_1,patient_080_node_1
48,patient_054_node_3,patient_047_node_2,patient_080_node_2
49,patient_054_node_2,patient_047_node_4,patient_080_node_4
50,patient_055_node_0,,
51,patient_055_node_3,,
52,patient_055_node_1,,
53,patient_055_node_4,,
54,patient_055_node_2,,
55,patient_056_node_0,,
56,patient_056_node_3,,
57,patient_056_node_4,,
58,patient_056_node_1,,
59,patient_056_node_2,,
60,patient_057_node_0,,
61,patient_057_node_4,,
62,patient_057_node_3,,
63,patient_057_node_2,,
64,patient_057_node_1,,
65,patient_058_node_1,,
66,patient_058_node_4,,
67,patient_058_node_2,,
68,patient_058_node_3,,
69,patient_058_node_0,,
70,patient_059_node_1,,
71,patient_059_node_4,,
72,patient_059_node_3,,
73,patient_059_node_0,,
74,patient_059_node_2,,
75,tumor_054,,
76,tumor_071,,
77,normal_125,,
78,normal_145,,
79,normal_056,,
80,tumor_021,,
81,normal_109,,
82,normal_160,,
83,normal_062,,
84,normal_118,,
85,tumor_068,,
86,normal_108,,
87,normal_066,,
88,normal_103,,
89,normal_142,,
90,normal_046,,
91,tumor_007,,
92,tumor_008,,
93,tumor_103,,
94,tumor_033,,
95,normal_054,,
