,train,val,test
0,patient_004_node_4,patient_009_node_0,patient_060_node_0
1,patient_005_node_3,patient_009_node_1,patient_060_node_3
2,patient_005_node_4,patient_080_node_0,patient_016_node_0
3,patient_006_node_2,patient_080_node_1,patient_016_node_1
4,patient_006_node_4,patient_080_node_2,patient_062_node_0
5,patient_024_node_1,patient_080_node_3,patient_062_node_1
6,patient_024_node_2,patient_080_node_4,patient_062_node_2
7,patient_024_node_4,patient_019_node_0,patient_062_node_3
8,patient_037_node_1,patient_019_node_1,patient_072_node_0
9,patient_040_node_2,patient_019_node_2,patient_072_node_1
10,patient_041_node_0,patient_019_node_3,patient_072_node_2
11,patient_064_node_0,patient_084_node_2,patient_072_node_4
12,patient_064_node_3,patient_084_node_3,patient_094_node_0
13,patient_067_node_3,patient_075_node_4,patient_094_node_1
14,patient_067_node_4,patient_069_node_0,patient_094_node_2
15,patient_068_node_1,patient_069_node_1,patient_094_node_4
16,patient_068_node_4,patient_069_node_2,patient_045_node_0
17,patient_012_node_0,patient_069_node_3,patient_045_node_1
18,patient_013_node_2,patient_074_node_4,patient_045_node_3
19,patient_013_node_3,patient_061_node_4,patient_045_node_4
20,patient_013_node_4,,patient_033_node_1
21,patient_014_node_2,,patient_033_node_2
22,patient_014_node_3,,patient_033_node_3
23,patient_014_node_4,,patient_020_node_1
24,patient_015_node_1,,patient_020_node_2
25,patient_015_node_2,,patient_020_node_4
26,patient_015_node_4,,
27,patient_017_node_1,,
28,patient_017_node_2,,
29,patient_017_node_3,,
30,patient_017_node_4,,
31,patient_021_node_0,,
32,patient_021_node_1,,
33,patient_021_node_3,,
34,patient_021_node_4,,
35,patient_026_node_0,,
36,patient_026_node_1,,
37,patient_026_node_2,,
38,patient_026_node_3,,
39,patient_026_node_4,,
40,patient_029_node_0,,
41,patient_029_node_1,,
42,patient_029_node_2,,
43,patient_029_node_3,,
44,patient_034_node_3,,
45,patient_039_node_0,,
46,patient_039_node_1,,
47,patient_042_node_3,,
48,patient_044_node_3,,
49,patient_044_node_4,,
50,patient_047_node_2,,
51,patient_051_node_0,,
52,patient_051_node_1,,
53,patient_051_node_2,,
54,patient_051_node_4,,
55,patient_052_node_0,,
56,patient_052_node_1,,
57,patient_052_node_2,,
58,patient_052_node_3,,
59,patient_063_node_0,,
60,patient_063_node_2,,
61,patient_063_node_3,,
62,patient_063_node_4,,
63,patient_065_node_0,,
64,patient_065_node_4,,
65,patient_066_node_2,,
66,patient_066_node_3,,
67,patient_070_node_3,,
68,patient_073_node_1,,
69,patient_073_node_3,,
70,patient_077_node_2,,
71,patient_077_node_4,,
72,patient_007_node_4,,
73,patient_008_node_0,,
74,patient_010_node_0,,
75,patient_010_node_4,,
76,patient_011_node_0,,
77,patient_018_node_1,,
78,patient_018_node_2,,
79,patient_018_node_3,,
80,patient_018_node_4,,
81,patient_022_node_0,,
82,patient_022_node_1,,
83,patient_022_node_4,,
84,patient_027_node_0,,
85,patient_027_node_2,,
86,patient_027_node_4,,
87,patient_028_node_0,,
88,patient_028_node_1,,
89,patient_028_node_2,,
90,patient_028_node_3,,
91,patient_030_node_4,,
92,patient_032_node_1,,
93,patient_036_node_3,,
94,patient_038_node_0,,
95,patient_038_node_2,,
96,patient_038_node_4,,
97,patient_046_node_3,,
98,patient_046_node_4,,
99,patient_048_node_0,,
100,patient_048_node_1,,
101,patient_049_node_1,,
102,patient_049_node_2,,
